domain,label,date,id

groceryreferenceoccurdeal.com,dga.matsnu,,2779783

wbgbkyydpcek.com,dga.tinba,2016-10-16,2117999

jtzxrasildeafeninguvuc.com,dga.banjori,2016-10-16,1061475

eyestrugglemaintainpayaccount.com,dga.matsnu,,2723038

oh01tyma9eswmmj7c7156xkge.net,dga.post,2016-10-27,1442263

jpjxllaabettingk.com,dga.banjori,2016-10-16,1051951

gkexuqqygqdnlt.com,dga.murofet,2016-10-26,798473

xolkkkngxivk.com,dga.tinba,2016-10-16,2211505

mwydxql.biz,dga.nymaim,2016-10-14,1332992

livffuqqsdef.com,dga.tinba,2016-10-16,1185836

jrivovospttg.com,dga.tinba,2016-10-16,1055763

faxwuhsifokjuh.in,dga.ranbyus,2016-10-24,682506

ywqvdskwmfkfmm.pw,dga.ranbyus,2016-10-16,2282450

gofqiologistbikerepil.com,dga.banjori,2016-10-16,809010

veurkcgun.org,dga.conficker,,2502206

hjasisqgeuuhued.com,dga.cryptolocker,,2362971

vuxfogic.ru,dga.pushdo,,2684516

rrlrfyoosghe.org,dga.cryptolocker,,2404234

kwffkbi.cc,dga.conficker,,2698332

siqbndgmvpjglblvdmiy.to,dga.necurs,2016-10-17,1790131

rklyic.com,dga.nymaim,2016-10-15,1694121

ywsmiuggqmyswkws.org,dga.ramdo,,4199919

uixlleasuredehydratorysagp.com,dga.banjori,2016-10-16,1998188

bfytpptvtgfvxobuii.mx,dga.necurs,2016-10-16,320603

1mft9mio9xdmmrq62k21psj2ao.biz,dga.post,2016-10-20,80858

lccpbdldhmjtiocsu.com,dga.ramnit,2016-10-16,1158570

ji3xv6yoe5qf1hlxjg.ru,dga.rovnix,1970-01-01,1032952

nxuqnvgvbrejqzjdcptfugvwg.info,dga.qakbot,2016-10-29,1419924

gentlewelcome.net,dga.suppobox,2016-10-17,782539

keiqoqno.ru,dga.pushdo,,2594669

ycwksmab.com,dga.ramnit,2016-10-16,2244398

bfgbllaabettingk.com,dga.banjori,2016-10-16,318895

chestboxfinddishreplaceclaim.com,dga.matsnu,,2565215

xpxwanerraticallyqozaw.com,dga.banjori,2016-10-16,2214940

bfhsidablyhoosieraw.com,dga.banjori,2016-10-16,319049

lkcsncqelqmigvhejt.com,dga.ramnit,2016-10-16,1188854

xmvawtf.me,dga.necurs,2016-10-29,2206232

dlmbmdfebcqc.ru,dga.tinba,2016-10-16,548824

vjbxu5rzg6rpruuc6i.com,dga.rovnix,1970-01-01,2071721

pzaqorcajanunal.com,dga.banjori,2016-10-16,1597470

qrevefbifbbn.com,dga.tinba,2016-10-16,1634124

vypenorlwdsmur.com,dga.murofet,2016-10-16,2106101

agbnsatformalisticirekb.com,dga.banjori,2016-10-16,205266

kwtfererwyatanb.com,dga.banjori,2016-10-16,1139818

sosmukokmguomwoq.org,dga.ramdo,,4153561

1jgadyr1p0xyi8gxm60xxq0iuw.biz,dga.gameover,2016-12-08,70617

dxrbellefrictionlessv.com,dga.banjori,2016-10-16,584742

weddingeffecttowelissueapply.com,dga.matsnu,,3124355

yvvyowsptmichn.com,dga.cryptolocker,,2543192

vvyiererwyatanb.com,dga.banjori,2016-10-16,2101628

vhjmsikathrinezad.com,dga.banjori,2016-10-16,2059060

suvjererwyatanb.com,dga.banjori,2016-10-16,1854432

fhydtibcymqv.biz,dga.cryptolocker,,2567695

lhikfgfewggr.cc,dga.tinba,2016-10-16,1174690

gqwmoswioceqkaey.org,dga.ramdo,,4203702

dntjcdmwacmr.biz,dga.cryptolocker,,2445854

sonbcisygewgkehdlxfkpa.com,dga.qakbot,2016-10-29,1814811

jihrfllhhbbm.com,dga.tinba,2016-10-16,1033717

28wpeqhtkkkq5rit34.ru,dga.rovnix,1970-01-01,127671

bhhwepictom.com,dga.banjori,2016-10-16,322916

