vowels,consonants,entropy,label
2,28,4.231401845392172,dga.post
4,14,3.94770277922009,dga.banjori
6,23,3.9614292709896417,dga.post
9,22,4.300497519854926,dga.post
5,6,3.2776134368191165,dga.pushdo
4,10,3.09306920777189,dga.necurs
13,21,3.995715327169053,dga.matsnu
5,15,3.6464393446710153,dga.banjori
3,27,3.923231428797621,dga.post
2,8,2.9219280948873623,dga.necurs
2,13,3.006238928653389,dga.tinba
2,17,3.7216117239699003,dga.ramnit
5,15,3.0086949695628418,dga.ramdo
3,18,4.070656113151927,dga.rovnix
4,12,3.452819531114783,dga.tinba
5,7,2.918295834054489,dga.simda
8,15,3.969001629875993,dga.banjori
4,7,2.9139770731827523,dga.pushdo
3,15,3.7254805569978675,dga.cryptolocker
4,12,3.875,dga.tinba
1,15,3.5,dga.tinba
10,16,3.76334248827185,dga.banjori
4,16,3.6841837197791887,dga.murofet
8,10,3.5032583347756456,dga.necurs
3,6,2.94770277922009,dga.conficker
0,17,3.454822399946607,dga.ranbyus
5,6,2.9139770731827523,dga.pushdo
3,12,3.5068905956085183,dga.cryptolocker
14,18,3.7775182662886326,dga.matsnu
4,18,3.8796640049025926,dga.kraken
3,13,3.452819531114783,dga.tinba
4,4,2.75,dga.simda
8,13,3.4039894464852614,dga.banjori
5,13,3.6835423624332306,dga.murofet
3,27,4.348394345536403,dga.post
5,6,3.277613436819116,dga.pushdo
4,15,4.03740119765411,dga.murofet
2,27,3.991794254480547,dga.post
2,28,4.256564762130954,dga.post
7,13,3.4841837197791885,dga.ramdo
3,12,2.9232314287976204,dga.tinba
8,15,3.969001629875993,dga.banjori
3,7,2.9219280948873623,dga.virut
6,19,4.163856189774724,dga.banjori
5,14,3.681880802803401,dga.banjori
3,11,3.6644977792004623,dga.nymaim
3,13,3.75,dga.tinba
4,22,3.9500637564362084,dga.qakbot
6,11,3.734521664779752,dga.ranbyus
3,13,3.702819531114783,dga.ramnit
8,20,3.780394654123194,dga.qakbot
6,24,4.1898980954642875,dga.post
1,8,2.94770277922009,dga.conficker
5,10,3.7735572622751845,dga.tinba
2,16,3.2810361125534233,dga.ramnit
10,20,3.6980685120588386,dga.matsnu
10,13,3.903359238383518,dga.banjori
6,10,3.375,dga.necurs
5,11,3.625,dga.ramnit
1,30,3.6521147627546076,dga.post
6,14,3.584183719779189,dga.banjori
4,12,3.452819531114783,dga.tinba
7,22,4.254195650150781,dga.goz
1,21,3.641249800455478,dga.rovnix
10,18,3.5975583870244896,dga.matsnu
5,19,4.1053885422075345,dga.necurs
9,11,3.408694969562842,dga.ramdo
3,28,3.9345304886308483,dga.post
1,15,3.327819531114783,dga.tinba
4,15,3.6163485660751635,dga.cryptolocker
3,26,4.28022625367366,dga.post
12,15,3.6800893536948074,dga.banjori
10,20,3.989898095464287,dga.banjori
11,9,3.308694969562842,dga.ramdo
5,23,4.208966082694624,dga.post
11,15,4.0748757755837675,dga.banjori
1,15,3.327819531114783,dga.tinba
4,16,3.7841837197791883,dga.necurs
2,15,3.4104172527605203,dga.cryptolocker
9,16,3.8634651896016465,dga.banjori
3,13,3.75,dga.nymaim
8,21,4.142295219190901,dga.post
5,25,4.2817276788697365,dga.post
6,14,3.208694969562842,dga.ramdo
8,15,3.8820451081368628,dga.banjori
5,15,3.003701696057348,dga.ramdo
4,11,3.640223928941851,dga.pykspa
5,10,3.373557262275186,dga.banjori
4,17,3.820888851350188,dga.cryptolocker
5,8,3.0269868333592873,dga.suppobox
3,10,3.238901256602631,dga.nymaim
6,14,3.5464393446710147,dga.symmi
3,27,4.173557262275185,dga.post
5,25,4.32323142879762,dga.post
2,16,3.6143694458867563,dga.tinba
2,11,3.334679141051595,dga.ramnit
4,26,4.081727678869736,dga.post
6,13,3.4713544870139286,dga.necurs
4,7,3.277613436819116,dga.pushdo
1,15,3.5,dga.tinba
3,15,3.4613201402110083,dga.banjori
3,8,3.0957952550009344,dga.conficker
5,14,3.826874881864637,dga.banjori
9,17,4.2098671219040344,dga.banjori
3,13,3.625,dga.tinba
5,11,3.625,dga.tinba
10,10,3.4841837197791885,dga.ramdo
14,21,3.797020431713803,dga.matsnu
4,25,4.142295219190901,dga.post
3,7,2.9219280948873623,dga.virut
3,15,3.6143694458867563,dga.qakbot
3,18,4.106603137064473,dga.rovnix
4,7,3.0957952550009344,dga.pushdo
5,24,4.254195650150781,dga.post
4,10,3.2359263506290334,dga.conficker
3,12,3.0565647621309537,dga.tinba
5,13,3.5724312513221195,dga.pykspa
2,14,3.077819531114783,dga.tinba
12,16,3.767375797816042,dga.matsnu
5,10,3.240223928941852,dga.banjori
2,14,3.625,dga.cryptolocker
7,18,3.7230741894285684,dga.banjori
3,8,3.0957952550009344,dga.banjori
3,13,3.5,dga.tinba
13,20,3.8013774524295485,dga.matsnu
10,16,4.0748757755837675,dga.banjori
8,18,4.085055102756476,dga.banjori
5,6,2.9139770731827523,dga.pushdo
7,7,3.2359263506290334,dga.nymaim
3,10,3.3927474104487847,dga.ramnit
12,19,3.821311940104173,dga.matsnu
5,7,2.8553885422075336,dga.suppobox
7,23,4.240223928941852,dga.post
5,15,3.346439344671015,dga.ramdo
7,13,3.546439344671015,dga.ramdo
4,9,2.9312089489103235,dga.conficker
0,12,3.084962500721156,dga.conficker
9,21,3.9483943455364026,dga.banjori
3,20,3.725104217943958,dga.necurs
5,6,2.9139770731827523,dga.pushdo
1,8,2.725480556997868,dga.conficker
9,21,4.081727678869736,dga.banjori
12,21,3.945464952495108,dga.matsnu
3,13,3.375,dga.tinba
4,22,4.132944044980958,dga.qakbot
2,10,3.2516291673878226,dga.conficker
10,10,3.3841837197791884,dga.ramdo
6,14,3.5841837197791886,dga.cryptolocker
5,11,3.4056390622295662,dga.tinba
9,22,4.103727665980414,dga.post
7,23,4.215061012203069,dga.post
5,24,3.9353986674667634,dga.post
3,17,3.8841837197791884,dga.murofet
2,10,3.0220552088742,dga.qakbot
2,18,3.5086949695628418,dga.murofet
8,17,4.023465189601646,dga.banjori
2,15,3.6168746059562227,dga.dircrypt
8,12,3.0841837197791886,dga.ramdo
3,7,3.321928094887362,dga.conficker
